state,requirements_link,letter_link,letter_detail,letter_notes,medical_exemption,religious_exemption,philosophical_exemption,exemption_notes,hpv_required,hpv_recommended,menacwy_required,menacwy_recommended,tetanus_required,tetanus_recommended,influenza_required,influenza_recommended
Alabama,https://www.alabamapublichealth.gov/immunization/resources.html,https://www.alabamapublichealth.gov/immunization/assets/2018sampleparentletter.pdf,1,,yes,yes,no,,no,no,no,no,yes,yes,no,no
Alaska,https://health.alaska.gov/dph/epi/iz/pages/outreach-materials.aspx ,NA,0,,yes,yes,no,,no,no,no,no,yes,no,no,no
Arizona,https://www.azdhs.gov/preparedness/epidemiology-disease-control/immunization/index.php#schools-immunization-forms,https://www.azdhs.gov/documents/preparedness/epidemiology-disease-control/immunization/school-childcare/screening-referral-form-k12.pdf?v=20240718,2,,yes,yes,yes,Parent/guardian must complete an online educational course to receive a non-medical exemption.,no,yes,yes,yes,yes,yes,no,yes
Arkansas,https://healthy.arkansas.gov/programs-services/community-family-child-health/immunizations,NA,0,,yes,yes,yes,Parent/guardian must complete an online educational course to receive a non-medical exemption.,no,no,yes,yes,yes,no,no,no
California,Required Immunizations for School Entry,https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/Immunization/IMM-1140.pdf,1,,yes,no,no,California removed its personal and religious exemption option in 2015.,no,no,no,no,yes,yes,no,no
Colorado,https://cdphe.colorado.gov/child-cares-schools-and-collegesuniversities-immunization-resources,https://drive.google.com/file/d/1UMQ4S5yqKt8GmB4byGSJ0yx-Tpccx5Ph/view,1,,yes,yes,yes,Parent/guardian must complete an online educational course to receive a non-medical exemption.,no,no,no,no,yes,yes,no,no
Connecticut,https://portal.ct.gov/immunization?language=en_US,NA,0,it is possible that letter templates may exist in the school nurse portals,yes,no,no,"Connecticut removed its religious exemption option in 2021. If a religious exemption was granted prior to April 28, 2021, the exemption will be honored through 12th grade.",no,no,yes,no,yes,no,no,no
Delaware,https://education.delaware.gov/educators/whole-child-support/school-health-services/families/immunizations/,NA,0,,yes,yes,no,,no,no,yes,no,yes,no,no,no
Florida,https://www.floridahealth.gov/programs-and-services/immunization/children-and-adolescents/school-immunization-requirements/index.html,NA,0,,yes,yes,no,,no,no,no,no,yes,no,no,no
Georgia,https://dph.georgia.gov/document/document/summary-chart-3231req-rev04222021-finalpdf/download,https://www.gadoe.org/wholechild/Documents/SchoolNurse/Revised-3231-2014.pdf,2,certificate of immunization requirement,yes,yes,no,,no,yes,yes,yes,yes,yes,no,yes
Hawaii,https://health.hawaii.gov/docd/vaccines-immunizations/school-health-requirements/sy-20-21/,https://health.hawaii.gov/docd/files/2020/09/EPI-10D-Updated-Sept-2020.pdf,1,,yes,yes,no,Parent/guardian must submit a Certificate of Religious Exemption signed by a health care provider to receive a religious exemption.,no,yes,no,yes,yes,yes,no,no
Idaho,https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=4926&dbid=0&repo=PUBLIC-DOCUMENTS&searchid=2bd9c333-b03e-41dd-a659-8aac138a43a0,NA,0,,yes,yes,yes,,no,no,yes,yes,yes,no,no,no
Illinois,https://dph.illinois.gov/content/dam/soi/en/web/idph/publications/idph/topics-and-services/prevention-wellness/immunization/immunization-requirements_2024-2025.pdf,https://dph.illinois.gov/content/dam/soi/en/web/idph/publications/idph/topics-and-services/prevention-wellness/immunization/immunization-requirements_2024-2025.pdf,2,certificate of immunization,yes,yes,no,,no,yes,yes,yes,yes,yes,no,no
Indiana,https://www.in.gov/health/immunization/files/2023-24-School-Immunization-Requirements-C-19.pdf,NA,0,,yes,yes,no,,no,yes,yes,yes,yes,no,no,no
Iowa,https://hhs.iowa.gov/media/669/download?inline,https://hhs.iowa.gov/media/665/download?inline,1,certificate but only required on it,yes,yes,no,,no,yes,yes,yes,yes,yes,no,no
Kansas,https://www.kdhe.ks.gov/DocumentCenter/View/21272/2024-2025-School-Requirement-K-12-PDF?bidId=,NA,0,,yes,yes,no,,no,no,yes,yes,yes,no,no,no
Kentucky,https://www.chfs.ky.gov/agencies/dph/dehp/imm/KentuckyImmunizationRequirementsSchoolAge.pdf,https://www.chfs.ky.gov/agencies/dph/dehp/imm/EPID230.pdf,2,"certificate of immunization status form, but verbiage in regulations is vaugue and private entities may opt not to include. ",yes,yes,no,,no,yes,yes,yes,yes,yes,no,yes
Louisiana,https://ldh.la.gov/assets/oph/Center-PHCH/Center-PH/immunizations/LOUISIANA_IMMUNIZATION_ENTRY_REQUIREMENTS_2024.pdf,NA,0,dept of health offers this: https://ldh.la.gov/assets/docs/immunization/toolkit/childhood/OPH23-Childhood-Immunization-Checklist.pdf,yes,yes,yes,Parent/guardian may obtain an exemption through written dissent - no personal or religious reason is listed in statute.,no,no,yes,yes,yes,no,no,no
Maine,https://www.maine.gov/dhhs/mecdc/infectious-disease/immunization/documents/School%20Nurse%20Magnet_7-17-24.pdf,NA,0,,yes,yes,yes,"Maine removed its relgious and personal exemption options in 2019. A student with a philosohpical or religious exemption prior to September 1, 2021 may continue to attend school under exemption if certain requirements are met.",no,no,yes,no,yes,no,no,no
Maryland,https://health.maryland.gov/phpa/OIDEOR/IMMUN/Shared%20Documents/2024-2025_School_IZ_%20Requirements_Final.pdf,https://health.maryland.gov/phpa/OIDEOR/IMMUN/Shared%20Documents/MDH_896_form.pdf,2,But it is not consistent really - see this: https://health.maryland.gov/phpa/OIDEOR/IMMUN/Shared%20Documents/2015%20Sample%20Exclusion%20Letter.docx,yes,yes,no,,no,no,yes,no,yes,yes,no,no
Massachusetts,https://www.mass.gov/doc/immunization-requirements-for-school-entry-1/download,NA,0,,yes,yes,no,,no,no,yes,no,yes,no,no,no
Michigan,https://www.michigan.gov/mdhhs/-/media/Project/Websites/mdhhs/Adult-and-Childrens-Services/Children-and-Families/Immunization-Information/School-Waiver-Information/MDHHS-Pub--1378_3323-(004).pdf?rev=6f40201d0d42405b9fca363074364080&hash=41BCA1B92085E2DAA2BB894EE518BA5D,NA,0,,yes,yes,yes,,no,no,yes,no,yes,no,no,no
Minnesota,https://www.health.state.mn.us/people/immunize/basics/readycc.pdf,https://www.health.state.mn.us/people/immunize/basics/readyk12.pdf,2,it it not forward facing and could get lost,yes,yes,yes,A notarized statement must be submited requesting an exemption for consientiously held beliefs to obtain an personal exemption.,no,yes,yes,yes,yes,yes,no,yes
Mississippi,https://msdh.ms.gov/page/resources/2029.pdf,NA,0,,yes,no,no,A federal district court order entered in April 2023 required Mississippi to allow a religious exemption. Parent/guardian must watch an educational video at a county health department to receive an exemption.,no,no,no,no,yes,no,no,no
Missouri,https://health.mo.gov/living/wellness/immunizations/pdf/2025-school-requirements.pdf,https://health.mo.gov/living/wellness/immunizations/pdf/Lit302.pdf,2,teen postcarrd is the sample,yes,yes,no,,no,no,yes,yes,yes,yes,no,yes
Montana,https://health.mo.gov/living/wellness/immunizations/pdf/Lit302.pdf,https://dphhs.mt.gov/assets/publichealth/Immunization/HES101CC.pdf,1,"I can't tell if the certificate of immunization is required, but it looks like it",yes,yes,no,,no,no,no,no,yes,no,no,no
Nebraska,https://dhhs.ne.gov/Pages/Licensed-Child-Care-Immunization.aspx,NA,0,,yes,yes,no,,no,no,no,no,yes,no,no,no
Nevada,https://dpbh.nv.gov/uploadedFiles/dpbhnvgov/content/Programs/Immunization/School_and_Childcare/Vaccines%20by%20Grade%20NV.pdf,NA,0,,yes,yes,no,,no,no,no,no,yes,no,no,no
New Hampshire,https://www.dhhs.nh.gov/sites/g/files/ehbemt476/files/documents2/imm-req-schools23-24.pdf,https://www.dhhs.nh.gov/sites/g/files/ehbemt476/files/documents2/imm-sampleltr-schools.pdf,1,,yes,yes,no,,no,no,no,no,yes,yes,no,no
New Jersey,https://www.nj.gov/health/cd/documents/imm_requirements/k12_parents.pdf,NA,0,,yes,yes,no,,no,no,yes,yes,yes,no,no,no
New Mexico,https://www.nmhealth.org/publication/view/policy/455/,https://webnew.ped.state.nm.us/wp-content/uploads/2021/03/SHSB_School_and_Daycare_Immunization_Schedule_Letter_2021_2022.dotx_by_TCC_3.10.21.pd_.pdf,2,"all are listed on the form with school requirements, the letter mentions hpv",yes,yes,no,,no,yes,yes,yes,yes,yes,no,yes
New York,https://www.health.ny.gov/prevention/immunization/schools/school_vaccines/,https://www.nysed.gov/sites/default/files/programs/student-support-services/immunization-guidelines-for-schools.pdf,1,school guidance form (in letter link cell) has guidance that states only required vaccines are to be mentioned when writting to paretns. has a fraud alert regarding school vaccination records: https://www.health.ny.gov/prevention/immunization/schools/fraud.htm,yes,no,no,New York removed its religious exemption option in 2019.,no,no,yes,yes,yes,yes,no,no
North Carolina,https://immunization.dph.ncdhhs.gov/schools/k-12.htm,https://immunization.dph.ncdhhs.gov/schools/k-12/immunization_non-compliance_letter_revised_8_19_2020.pdf,1,even parent ed materials are only required: https://immunization.dph.ncdhhs.gov/schools/resourcesforschools.htm,yes,yes,no,,no,no,no,no,yes,no,no,no
North Dakota,https://www.hhs.nd.gov/sites/www/files/documents/DOH%20Legacy/Immunization/School%20Imm%20Requirments.pdf,https://www.hhs.nd.gov/sites/www/files/documents/DOH%20Legacy/Immunization/2023-2024%20Toolkit%2010.4.23.pdf,1,,yes,yes,yes,,no,no,yes,yes,yes,yes,no,no
Ohio,https://odh.ohio.gov/wps/wcm/connect/gov/9683ace0-573f-4ed3-b9d4-08d714d1fb85/Ohio+Immunization+Summary+for+School+Attendance.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_79GCH8013HMOA06A2E16IV2082-9683ace0-573f-4ed3-b9d4-08d714d1fb85-p8S968w,NA,0,,yes,yes,yes,,no,no,yes,yes,yes,no,no,no
Oklahoma,https://oklahoma.gov/content/dam/ok/en/health/health2/aem-documents/vital-records/forms/Guide%20To%20Immunization%20Requirements4224.pdf,NA,0,,yes,yes,yes,,no,yes,no,yes,yes,no,no,no
Oregon,https://www.oregon.gov/oha/PH/PREVENTIONWELLNESS/VACCINESIMMUNIZATION/GETTINGIMMUNIZED/Documents/SchBusEng24.pdf,https://www.oregon.gov/oha/PH/PREVENTIONWELLNESS/VACCINESIMMUNIZATION/GETTINGIMMUNIZED/Documents/SchCISform.pdf,1,"letter is ""certificate of immunization status""",yes,yes,yes,Parent/guardian must submit request signed by a health care provider or obtain a certificate after viewing an educational module to receive a non-medical exemption.,no,no,no,no,yes,yes,no,no
Pennsylvania,https://www.pa.gov/en/agencies/health/programs/immunizations/school.html,NA,0,Pennsylvania's law is a clear example of how no guidance is given for schools in terms of how to notify parents about vaccinations: https://www.pa.gov/en/agencies/education/resources/policies-acts-and-laws/basic-education-circulars-becs/purdons-statutes/school-immunization-requirements.html,yes,yes,yes,,no,no,yes,yes,yes,no,no,no
Rhode Island,https://health.ri.gov/immunization/for/schools/,NA,0,,yes,yes,no,,yes,no,yes,yes,yes,no,yes,no
South Carolina,https://dph.sc.gov/health-wellness/child-teen-health/vaccine-requirements-info,NA,0,,yes,yes,no,,no,no,no,no,yes,no,no,no
South Dakota,https://doh.sd.gov/topics/immunizations-vaccinations/immunizations-required-for-sd-school-entry/,NA,0,,yes,yes,no,,no,no,yes,yes,yes,no,no,no
Tennessee,https://www.tn.gov/health/cedep/immunization-program/ip/immunization-requirements.html,https://www.tn.gov/content/dam/tn/health/documents/immunizationrequirements/tenniis/TN_Immunization_Certificate_Sample.pdf,2,certificate of immunization,yes,yes,no,,no,yes,no,yes,yes,yes,no,yes
Texas,https://www.dshs.texas.gov/immunizations/school/requirements,https://www.dshs.texas.gov/sites/default/files/LIDS-Immunizations/pdf/k-12-letter-bilingual.pdf,1,,yes,yes,yes,,no,no,yes,yes,yes,yes,no,no
Utah,https://immunize.utah.gov/school-childcare-immunization-requirements/,https://immunize.utah.gov/wp-content/uploads/Early-Childhood-Program-Imm-Req-Ltr-English.pdf,1,,yes,yes,yes,,no,no,yes,yes,yes,yes,no,no
Vermont,https://www.healthvermont.gov/disease-control/immunizations/recommended-vaccines-children-and-teens,https://www.healthvermont.gov/sites/default/files/document/ID_IZ_K12_Kindergarten-Grade-12-Immunization-Checklist-2024.pdf,1,menawcy only required for boarding/residential schools,yes,yes,no,Parent/gurdaian must review evidence-based educational material to receive a religious exemption.,no,no,no,yes,yes,yes,no,no
Virginia,https://www.vdh.virginia.gov/immunization/requirements/,https://www.vdh.virginia.gov/content/uploads/sites/58/2024/09/GREEN-6-2024.-JPTS.-MCH213G_School_Entrance_Fillabl.pdf,2,School Entrance Health Form,yes,yes,no,A personal exemption is allowed for HPV (human papillomarvirus) vaccine only.,yes,yes,yes,yes,yes,yes,no,yes
Washington,https://doh.wa.gov/community-and-environment/schools/immunization/school-immunization-laws,https://doh.wa.gov/community-and-environment/schools/immunization#k12,2,"Several, separate letters for recommended and required vaccinations.",yes,yes,yes,"Washington removed the personal belief exemption for measles, mumps and rubella (MMR) in 2019.",no,no,no,yes,yes,yes,no,no
West Virginia,https://oeps.wv.gov/immunizations/Pages/immunization_Requirements.aspx,NA,0,,yes,no,no,,no,no,yes,yes,yes,no,no,no
Wisconsin,https://www.dhs.wisconsin.gov/immunization/reqs.htm,https://www.dhs.wisconsin.gov/publications/p44545-90th-not-comp.pdf,1,"letter to parents about being behind or missing has nothing, other letters have only required vaccines",yes,yes,yes,,no,no,yes,yes,yes,yes,no,no
Wyoming,https://health.wyo.gov/publichealth/immunization/patient-and-parent-resources/childhood-and-teen-vaccines/,https://health.wyo.gov/wp-content/uploads/2018/04/Notice-of-Immunizations-Needed-4.12.18.docx,1,,yes,yes,no,,no,no,no,no,yes,yes,no,no
zz District of Columbia,https://dchealth.dc.gov/sites/default/files/dc/sites/doh/DCH_School%20Immunization%20Requirements%20Guide_v2_r11_.pdf,https://dchealth.dc.gov/sites/default/files/dc/sites/doh/service_content/attachments/2024-04-DCHealth-Universal-Health-Certificate-form-2-IA_0.pdf,2,required universal health certificate yearly,yes,yes,no,A personal exemption is allowed for the HPV (human papillomarvirus) vaccine only.,yes,yes,yes,yes,yes,yes,no,yes